Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
3506,Male,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB15
3507,Female,35-44 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB15
3508,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB15
3509,Male,35-44 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3510,Male,15-24 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$10,001 - $20,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3511,Male,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB15
3512,Male,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB15
3513,Male,55-64 Years,European,No Qualification,Employed Full-time,"$ 5,000 or Less",20-29 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB15
3514,Female,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3515,Male,45-54 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3516,Female,25-34 Years,European,University Degree or Higher,Employed Part-time,"$ 5,000 or Less",20-29 Hours,Bicycle,Never Smoked Regularly,No,No,MB15
3517,Male,55-64 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Motor Cycle or Power Cycle,Never Smoked Regularly,Yes,No,MB15
3518,Male,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB15
3519,Female,35-44 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB15
3520,Female,25-34 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB15
3521,Male,15-24 Years,Other Ethnicity,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3522,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Bicycle,Never Smoked Regularly,No,No,MB15
3523,Female,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB15
3524,Male,35-44 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB15
3525,Male,15-24 Years,Other Ethnicity,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB15
3526,Female,35-44 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3527,Male,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB15
3528,Male,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB15
3529,Male,25-34 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,Yes,No,MB15
3530,Male,55-64 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB15
3531,Male,45-54 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3532,Male,45-54 Years,Maori,No Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,No,Yes,MB15
3533,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB15
3534,Female,55-64 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB15
3535,Female,25-34 Years,European,University Degree or Higher,Employed Part-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3536,Female,25-34 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB15
3537,Female,55-64 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3538,Female,35-44 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB15
3539,Male,55-64 Years,European,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB15
3540,Female,65 Years and Over,European,School Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB15
3541,Male,25-34 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Ex-Smoker,No,No,MB15
3542,Female,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB15
3543,Female,25-34 Years,Maori,No Qualification,Employed Full-time,"$10,001 - $20,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB15
3544,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB15
3545,Female,25-34 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB15
3546,Male,45-54 Years,European,University Degree or Higher,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB15
3547,Female,15-24 Years,European,School Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3548,Male,15-24 Years,Other Ethnicity,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB15
3549,Female,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3550,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB15
3551,Female,25-34 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3552,Male,15-24 Years,Maori,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB15
3553,Female,15-24 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",40-49 Hours,Other,Never Smoked Regularly,Yes,Yes,MB15
3554,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB15
3555,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB15
3556,Male,35-44 Years,European,Trade or Vocational,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB15
3557,Male,35-44 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB15
3558,Male,15-24 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB15
3559,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB15
3560,Male,45-54 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB15
3561,Female,55-64 Years,European,University Degree or Higher,Employed Part-time,"$ 5,000 or Less",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB15
3562,Male,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB15
3563,Female,65 Years and Over,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB15
3564,Female,55-64 Years,European,No Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,Walked or Jogged,Ex-Smoker,Yes,Yes,MB15
3565,Male,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB15
3566,Male,55-64 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB15
3567,Female,25-34 Years,European,No Qualification,Employed Part-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB15
3568,Female,25-34 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB15
3569,Female,25-34 Years,European,University Degree or Higher,Employed Part-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB15
3570,Male,45-54 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB15
3571,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,No,No,MB15
3572,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB15
3573,Male,25-34 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB15
3574,Male,15-24 Years,Other Ethnicity,School Qualification,Employed Part-time,"$ 5,000 or Less",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB15
3575,Male,45-54 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB15
3576,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$10,001 - $20,000",20-29 Hours,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,Yes,No,MB15
3577,Female,55-64 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",50 Hours or More,Walked or Jogged,Ex-Smoker,Yes,Yes,MB15
3578,Female,45-54 Years,European,University Degree or Higher,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3579,Female,65 Years and Over,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3580,Female,35-44 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB15
3581,Male,65 Years and Over,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB15
3582,Female,45-54 Years,European,Trade or Vocational,Employed Part-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB15
3583,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3584,Female,45-54 Years,European,Trade or Vocational,Employed Part-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB15
3585,Female,55-64 Years,European,No Qualification,Employed Part-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB15
3586,Female,55-64 Years,Maori,Trade or Vocational,Employed Part-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB15
3587,Female,55-64 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",30-39 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB15
3588,Female,45-54 Years,European,University Degree or Higher,Not Employed,"$50,001 or More",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB15
3589,Female,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB15
3590,Male,65 Years and Over,Maori,No Qualification,Employed Full-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB15
3591,Male,15-24 Years,Other Ethnicity,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB15
3592,Male,25-34 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3593,Male,15-24 Years,Other Ethnicity,School Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,No,No,MB15
3594,Female,45-54 Years,European,University Degree or Higher,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB15
3595,Male,35-44 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3596,Male,15-24 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB15
3597,Female,15-24 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB15
3598,Female,35-44 Years,Maori,School Qualification,Employed Part-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB16
3599,Female,45-54 Years,European,School Qualification,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3600,Female,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3601,Male,35-44 Years,European,No Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3602,Male,45-54 Years,European,School Qualification,Employed Full-time,"$ 5,000 or Less",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3603,Female,35-44 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3604,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3605,Female,65 Years and Over,Other Ethnicity,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB16
3606,Female,65 Years and Over,Other Ethnicity,University Degree or Higher,Employed Full-time,"$10,001 - $20,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3607,Female,25-34 Years,European,School Qualification,Employed Full-time,"$50,001 or More",1-19 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB16
3608,Female,35-44 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB16
3609,Male,15-24 Years,European,School Qualification,Employed Part-time,"$ 5,001 - $10,000",20-29 Hours,Walked or Jogged,Ex-Smoker,No,Yes,MB16
3610,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,No,Yes,MB16
3611,Male,35-44 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,No,Yes,MB16
3612,Female,35-44 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB16
3613,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB16
3614,Female,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB16
3615,Male,55-64 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB16
3616,Female,55-64 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB16
3617,Female,15-24 Years,European,No Qualification,Employed Part-time,"$ 5,000 or Less",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3618,Female,25-34 Years,European,University Degree or Higher,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3619,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,No,MB16
3620,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB16
3621,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB16
3622,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3623,Male,35-44 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB16
3624,Female,35-44 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",1-19 Hours,Did Not Travel to Work,Regular Smoker,No,Yes,MB16
3625,Female,45-54 Years,European,Trade or Vocational,Employed Part-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3626,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB16
3627,Male,25-34 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3628,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB16
3629,Male,25-34 Years,European,No Qualification,Employed Part-time,"$ 5,001 - $10,000",30-39 Hours,Did Not Travel to Work,Regular Smoker,No,Yes,MB16
3630,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",30-39 Hours,Did Not Travel to Work,Regular Smoker,No,No,MB16
3631,Male,35-44 Years,European,School Qualification,Employed Part-time,"$ 5,001 - $10,000",50 Hours or More,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB16
3632,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3633,Female,55-64 Years,Maori,No Qualification,Employed Part-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,No,MB16
3634,Male,55-64 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Walked or Jogged,Ex-Smoker,Yes,Yes,MB16
3635,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,No,MB16
3636,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3637,Male,15-24 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3638,Female,35-44 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3639,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3640,Female,35-44 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB16
3641,Male,25-34 Years,European,School Qualification,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,No,Yes,MB16
3642,Male,25-34 Years,European,Trade or Vocational,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB16
3643,Female,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3644,Female,45-54 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB16
3645,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",30-39 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3646,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,No,MB16
3647,Male,35-44 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3648,Male,45-54 Years,European,No Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB16
3649,Male,35-44 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB16
3650,Male,35-44 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3651,Female,45-54 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB16
3652,Male,45-54 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB16
3653,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3654,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3655,Female,15-24 Years,European,No Qualification,Employed Part-time,"$ 5,000 or Less",1-19 Hours,Walked or Jogged,Never Smoked Regularly,No,Yes,MB16
3656,Female,65 Years and Over,European,No Qualification,Employed Full-time,"$10,001 - $20,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB16
3657,Female,65 Years and Over,Other Ethnicity,School Qualification,Employed Full-time,"$10,001 - $20,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,No,No,MB16
3658,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$10,001 - $20,000",20-29 Hours,Bicycle,Regular Smoker,Yes,Yes,MB16
3659,Male,45-54 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3660,Female,35-44 Years,European,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3661,Male,35-44 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3662,Female,25-34 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB16
3663,Female,65 Years and Over,Other Ethnicity,School Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB16
3664,Male,25-34 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB16
3665,Male,55-64 Years,European,No Qualification,Employed Full-time,"$ 5,001 - $10,000",20-29 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB16
3666,Female,55-64 Years,European,School Qualification,Employed Full-time,"$ 5,000 or Less",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB16
3667,Male,55-64 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Bicycle,Never Smoked Regularly,Yes,No,MB16
3668,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3669,Male,45-54 Years,European,No Qualification,Employed Part-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3670,Female,55-64 Years,European,School Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,Did Not Travel to Work,Regular Smoker,No,No,MB16
3671,Female,65 Years and Over,Other Ethnicity,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB16
3672,Female,25-34 Years,European,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3673,Male,35-44 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",20-29 Hours,Walked or Jogged,Ex-Smoker,Yes,Yes,MB16
3674,Male,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3675,Male,15-24 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3676,Female,45-54 Years,European,Trade or Vocational,Employed Part-time,"$ 5,000 or Less",1-19 Hours,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB16
3677,Female,35-44 Years,European,Trade or Vocational,Not Employed,"$50,001 or More",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
